	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
715	EEK14408.1	ARO:3003931	Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones	Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
716	EEL41021.1	ARO:3003072	Bacillus Cluster A intrinsic mph	Bacillus Cluster A intrinsic mph	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
717	EEX02086	ARO:3004089	ANT(3)-IIa	ANT(3)-IIa	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
718	EFF04178.1	ARO:3000309	emrD	emrD	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
719	ENU37733	ARO:3004091	ANT(3)-IIc	ANT(3)-IIc	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
720	ENU91137	ARO:3004090	ANT(3)-IIb	ANT(3)-IIb	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
721	ENV34035	ARO:3004087	APH(3)-IX	APH(3)-IX	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
722	EOD99669.1	ARO:3002875	dfrE	dfrE	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
723	EOO80837.1	ARO:3003767	Bacillus Cluster B intrinsic mph	Bacillus Cluster B intrinsic mph	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
724	EPF73263	ARO:3004086	APH(3)-VIII	APH(3)-VIII	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
725	KIX81495.1	ARO:3002813	lmrB	lmrB	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
726	NP_052167.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
727	NP_207972.1	ARO:3003964	hp1181	hp1181	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;nitroimidazole antibiotic	antibiotic efflux
728	NP_207975.1	ARO:3003965	hp1184	hp1184	multidrug and toxic compound extrusion (MATE) transporter	N/A	antibiotic efflux
729	NP_216424.1	ARO:3003392	Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	isoniazid resistant katG	isoniazid	antibiotic target alteration
730	NP_217362.1	ARO:3003955	efpA	efpA	major facilitator superfamily (MFS) antibiotic efflux pump	rifamycin antibiotic;isoniazid	antibiotic efflux
731	NP_248846.1	ARO:3003679	TriA	TriA	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
732	NP_248847.1	ARO:3003680	TriB	TriB	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
733	NP_248848.1	ARO:3003681	TriC	TriC	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
734	NP_249115.1	ARO:3000506	mexR	MexR	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic target alteration;antibiotic efflux
735	NP_249115.1	ARO:3000506	mexR	MexR	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic target alteration;antibiotic efflux
736	NP_249116.1	ARO:3000377	MexA	MexA	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
737	NP_249118.1	ARO:3000379	OprM	OprM	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
738	NP_249397.1	ARO:3002679	catB7	catB7	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
739	NP_249649.1	ARO:3003686	Pseudomonas aeruginosa oprD with mutation conferring resistance to imipenem	Pseudomonas aeruginosa oprD with mutation conferring resistance to imipenem	Outer Membrane Porin (Opr)	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
740	NP_249820.1	ARO:3000149	fosA	FosA	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
741	NP_249870.1	ARO:3003895	Pseudomonas mutant PhoP conferring resistance to colistin	Pseudomonas mutant PhoP conferring resistance to colistin	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase	macrolide antibiotic;peptide antibiotic	antibiotic target alteration;antibiotic efflux
742	NP_249871.1	ARO:3003896	Pseudomonas mutant PhoQ conferring resistance to colistin	Pseudomonas mutant PhoQ conferring resistance to colistin	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase	macrolide antibiotic;peptide antibiotic	antibiotic target alteration;antibiotic efflux
743	NP_250052.1	ARO:3004077	PmpM	PmpM	multidrug and toxic compound extrusion (MATE) transporter	N/A	antibiotic efflux
744	NP_250710.1	ARO:3003709	mexZ	MexZ	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
745	NP_251182.1	ARO:3000814	MexT	MexT	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
746	NP_251183.1	ARO:3000803	MexE	MexE	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
747	NP_251184.1	ARO:3000804	MexF	MexF	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
748	NP_251185.1	ARO:3000805	OprN	OprN	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
749	NP_251215.1	ARO:3004072	OpmB	OpmB	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;monobactam;tetracycline antibiotic;aminocoumarin antibiotic	antibiotic efflux
750	NP_251216.1	ARO:3004075	MuxC	MuxC	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;monobactam;tetracycline antibiotic;aminocoumarin antibiotic	antibiotic efflux
751	NP_251217.1	ARO:3004074	MuxB	MuxB	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;monobactam;tetracycline antibiotic;aminocoumarin antibiotic	antibiotic efflux
752	NP_251218.1	ARO:3004073	MuxA	MuxA	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;monobactam;tetracycline antibiotic;aminocoumarin antibiotic	antibiotic efflux
753	NP_251858.1	ARO:3003684	Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
754	NP_252244	ARO:3002985	arnA	arnA	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
755	NP_252264.1	ARO:3000819	nalD	nalD	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
756	NP_252367.1	ARO:3003692	mexJ	MexJ	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
757	NP_252368.1	ARO:3003710	mexL	MexL	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
758	NP_252408.1	ARO:3004056	ArmR	ArmR	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
759	NP_252410.1	ARO:3000818	nalC	nalC	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
760	NP_252894.1	ARO:3000806	mexG	MexG	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye	antibiotic efflux
761	NP_252895.1	ARO:3000807	mexH	MexH	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye	antibiotic efflux
762	NP_252896.1	ARO:3000808	mexI	MexI	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye	antibiotic efflux
763	NP_252897.1	ARO:3000809	opmD	OpmD	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye	antibiotic efflux
764	NP_253005.1	ARO:3004069	MvaT	MvaT	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
765	NP_253464.1	ARO:3003582	basR	basR	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
766	NP_253654.1	ARO:3003685	Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones	Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
767	NP_253661.1	ARO:3003682	OpmH	OpmH	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
768	NP_253677.1	ARO:3004038	Pseudomonas aeruginosa emrE	Pseudomonas aeruginosa emrE	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
769	NP_273367.1	ARO:3003961	farA	farA	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
770	NP_273368.1	ARO:3003962	farB	farB	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
771	NP_273462.1	ARO:3003937	Neisseria meningititis PBP2 conferring resistance to beta-lactam	Neisseria meningititis PBP2 conferring resistance to beta-lactam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
772	NP_274718.1	ARO:3000811	mtrD	mtrD	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
773	NP_274719.1	ARO:3000810	mtrC	mtrC	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
774	NP_309766.1	ARO:3000676	H-NS	H-NS	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;cephamycin;penam;tetracycline antibiotic	antibiotic efflux
775	NP_311275.1	ARO:3000832	evgA	evgA	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam;tetracycline antibiotic	antibiotic efflux
776	NP_312864.1	ARO:3000830	cpxA	cpxA	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;aminocoumarin antibiotic	antibiotic efflux
777	NP_312937.1	ARO:3003288	Escherichia coli rpoB mutants conferring resistance to rifampicin	Escherichia coli rpoB mutants conferring resistance to rifampicin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
778	NP_358469.1	ARO:3000822	pmrA	pmrA	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
779	NP_358565.1	ARO:3000614	mefE	mefE	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
780	NP_358969.1	ARO:3000025	patB	patB	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
781	NP_359110.1	ARO:3003042	Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin	Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
782	NP_414995.1	ARO:3000216	acrB	acrB	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
783	NP_414997.1	ARO:3003807	Escherichia coli acrR with mutation conferring multidrug antibiotic resistance	Escherichia coli acrR with mutation conferring multidrug antibiotic resistance	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
784	NP_415222.1	ARO:3003841	kdpE	kdpE	kdpDE	aminoglycoside antibiotic	antibiotic efflux
785	NP_415372.1	ARO:3003751	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	antibiotic resistant nfsA	nitrofuran antibiotic	antibiotic target alteration
786	NP_415434.1	ARO:3003950	msbA	msbA	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux
787	NP_415449.1	ARO:3003390	Pseudomonas aeruginosa ompF with mutation	Escherichia coli ompF with mutation conferring resistance to beta-lactam antibiotics	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
788	NP_415611.1	ARO:3004049	antibiotic resistant fabG	Escherichia coli fabG mutations conferring resistance to triclosan	antibiotic resistance fabG	triclosan	antibiotic target alteration
789	NP_415632.1	ARO:3003844	mfd	mfd	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
790	NP_415804.1	ARO:3004045	antibiotic resistant fabI	Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan	antibiotic resistant fabI	isoniazid;triclosan	antibiotic target alteration
791	NP_416292.1	ARO:3002818	msrB	msrB	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;streptogramin antibiotic	antibiotic efflux
792	NP_416715.1	ARO:3003952	yojI	YojI	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
793	NP_417169.1	ARO:3000516	emrR	emrR	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
794	NP_417544.5	ARO:3000024	patA	patA	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
795	NP_418486.1	ARO:3003511	Escherichia coli soxS with mutation conferring antibiotic resistance	Escherichia coli soxS with mutation conferring antibiotic resistance	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic target alteration;antibiotic efflux;reduced permeability to antibiotic
796	NP_459345.2	ARO:3000791	mdsC	mdsC	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam;carbapenem;cephalosporin;cephamycin;penam;phenicol antibiotic;penem	antibiotic efflux
797	NP_459346.1	ARO:3000790	mdsB	mdsB	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam;carbapenem;cephalosporin;cephamycin;penam;phenicol antibiotic;penem	antibiotic efflux
798	NP_459347.2	ARO:3000789	mdsA	mdsA	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam;carbapenem;cephalosporin;cephamycin;penam;phenicol antibiotic;penem	antibiotic efflux
799	NP_459349.1	ARO:3000504	golS	golS	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam;carbapenem;cephalosporin;cephamycin;penam;phenicol antibiotic;penem	antibiotic efflux
800	NP_460578.1	ARO:3002571	AAC(6)-Iaa	AAC(6)-Iaa	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
801	NP_460903.1	ARO:3000826	sdiA	sdiA	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
802	NP_461214.1	ARO:3003926	Salmonella enterica gyrA conferring resistance to fluoroquinolones	Salmonella enterica gyrA conferring resistance to fluoroquinolones	triclosan resistant gyrA	triclosan	antibiotic target alteration
803	NP_461214.1	ARO:3003926	Salmonella enterica gyrA conferring resistance to fluoroquinolones	Salmonella enterica gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
804	NP_462089.1	ARO:3003939	Salmonella enterica parC conferring resistance to fluoroquinolones	Salmonella enterica parC conferring resistance to fluoroquinolones	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
805	NP_462096.1	ARO:3003317	Salmonella serovars parE conferring resistance to fluoroquinolones	Salmonella serovars parE conferring resistance to fluoroquinolones	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
806	NP_465220	ARO:3003770	Listeria monocytogenes mprF	Listeria monocytogenes mprF	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
807	NP_627787	ARO:3002914	vanJ	vanJ	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration
808	NP_831795.1	ARO:3000172	FosB	FosB	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
809	NP_848167.1	ARO:3002675	catB2	catB2	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
810	NP_863168.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
811	NP_863643.1	ARO:3002597	AAC(6)-Ie-APH(2)-Ia	AAC(6)-Ie-APH(2)-Ia	APH(2);AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
812	NP_899166.1	ARO:3003111	lsaB	lsaB	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
813	NP_899170.1	ARO:3000599	Erm(33)	Erm(33)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
814	Q0SSM7	ARO:3003773	Clostridium perfringens mprF	Clostridium perfringens mprF	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
815	Q8DWT2	ARO:3003774	Streptococcus agalactiae mprF	Streptococcus agalactiae mprF	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
816	Q8FW76	ARO:3003772	Brucella suis mprF	Brucella suis mprF	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
817	SIP52035.1	ARO:3004054	Pseudomonas aeruginosa CpxR	Pseudomonas aeruginosa CpxR	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
818	WP_000572405.1	ARO:3002644	APH(3)-IIa	APH(3)-IIa	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
819	WP_000725529.1	ARO:3001209	mecC	mecC	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement
820	WP_001025093	ARO:3003323	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	daptomycin resistant pgsA	peptide antibiotic	antibiotic target alteration
821	WP_002530866.1	ARO:3003974	Propionibacterium acnes gyrA conferring resistance to fluoroquinolones	Propionibacterium acnes gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
822	WP_004025678.1	ARO:3003305	Ureaplasma urealyticum  gyrB conferring resistance to fluoroquinolone	Ureaplasma urealyticum  gyrB conferring resistance to fluoroquinolone	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic;aminocoumarin antibiotic	antibiotic target alteration
823	WP_004746565.1	ARO:3003848	ADC-2	ADC-2	ADC beta-lactamase	cephalosporin	antibiotic inactivation
824	WP_005768149.1	ARO:3003302	Bartonella bacilliformis gyrB conferring resistance to aminocoumarin	Bartonella bacilliformis gyrB conferring resistance to aminocoumarin	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
825	WP_005813024.1	ARO:3003724	vanWI	vanWI	vanW;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
826	WP_009887863.1	ARO:3003357	Clostridium difficile EF-Tu mutants conferring resistance to elfamycin	Clostridium difficile EF-Tu mutants conferring resistance to elfamycin	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
827	WP_010550189.1	ARO:3003071	mphE	mphE	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
828	WP_010891786.1	ARO:3003309	Ureaplasma urealyticum parC conferring resistance to fluoroquinolone	Ureaplasma urealyticum parC conferring resistance to fluoroquinolone	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
829	WP_011303797	ARO:3003731	fusD	fusD	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
830	WP_011461302.1	ARO:3003726	vanSI	vanSI	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
831	WP_011461303	ARO:3003728	vanRI	vanRI	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
832	WP_011461306	ARO:3003727	vanKI	vanKI	glycopeptide resistance gene cluster;vanK	glycopeptide antibiotic	antibiotic target alteration
833	WP_014065640.1	ARO:3003924	Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones	Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
834	WP_014550864.1	ARO:3003953	hmrM	hmrM	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
835	WP_015735625.1	ARO:3003907	cipA	cipA	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
836	WP_015943580.1	ARO:3003725	vanXI	vanXI	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
837	WP_024565805.1	ARO:3000579	BlaB beta-lactamase	Chryseobacterium meningosepticum BlaB	BlaB beta-lactamase	carbapenem;penam	antibiotic inactivation
838	WP_041918279.1	ARO:3003925	Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones	Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
839	WP_042649345	ARO:3002191	MOX-9	MOX-9	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
840	WP_063860852	ARO:3003842	MUS-2 beta-lactamase	MUS-2	MUS beta-lactamase	carbapenem	antibiotic inactivation
841	WP_063978071.1	ARO:3000862	sgm	sgm	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
842	XP_753111.1	ARO:3003942	abcA	abcA	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin;penam;peptide antibiotic	antibiotic efflux
843	YP_001086469.1	ARO:3003995	Clostridium difficile gyrA conferring resistance to fluoroquinolones	Clostridium difficile gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
844	YP_001245420.1	ARO:3000215	mecR1	mecR1	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement
845	YP_001315192.1	ARO:3000347	ErmA	ErmA	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
846	YP_001332362.1	ARO:3000838	arlR	arlR	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
847	YP_001440920.1	ARO:3000746	mepR	mepR	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux
848	YP_001693237.1	ARO:3003922	oqxA	oqxA	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;glycylcycline;tetracycline antibiotic;diaminopyrimidine antibiotic;nitrofuran antibiotic	antibiotic efflux
849	YP_001693238	ARO:3003923	oqxB	oqxB	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;glycylcycline;tetracycline antibiotic;diaminopyrimidine antibiotic;nitrofuran antibiotic	antibiotic efflux
850	YP_001816610.1	ARO:3000860	rmtB	rmtB	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
851	YP_002320475.1	ARO:3000780	adeI	adeI	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
852	YP_002343805.1	ARO:3000526	cmeR	cmeR	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;fusidic acid	antibiotic efflux
853	YP_002743273.1	ARO:3000616	mel	mel	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;streptogramin antibiotic	antibiotic efflux
